COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
ANTHRO,860,Hist-Anthropological Theory,The Elementary Forms of Religious Life,'0029079373'
ANTHRO,860,Hist-Anthropological Theory,Structure and Function in Primitive Society: Essays and Addresses by A. R. Radcliffe-Brown,'0029256208'
NURSING,815,Knowledge Developmt in Nursing,Theoretical Nursing: Development and Progress,'0060000422'
ENGL,248,Women in Ethnic Amer Lit,The Bell Jar,'0060837020'
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,"Inanna, Queen of Heaven and Earth: Her Stories and Hymns from Sumer",'0060908548'
HISTORY,223,Exploration-European Hist (H),"Nazi Germany and the Jews Vol. 1, The Years of Persecution: 1933-1939",'0060928786'
HISTORY,223,Exploration-European Hist (H),"Nazi Germany and the Jews Vol. 2, 1939-1945: The Years of Extermination",'0060930489'
ENGL,248,Women in Ethnic Amer Lit,How We Survived Communism and Even Laughed,'0060975407'
JOURN,564,Media and the Consumer,The overspent American,'0060977582'
HISTORY,120,Europe&Mod World 1815-On,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,'0060995068'
CLASSICS,373,Topics in Classical Culture,The HarperCollins Study Bible: Fully Revised & Updated,'0061228400'
ENGL,155,Myth and Literature,The Song of Achilles:  a Novel,'0062060627'
GEN&WS,343,Queer Bodies,Sick: A Memoir,'006242873X'
ART,448,Special Topics,Parkland: Birth of a Movement,'0062887971'
MATH,522,Analysis II,Principles of Mathematical Analysis,'007054235X'
JOURN,345,Principles & Pract Strat Comm,Positioning: The Battle For Your Mind,'0071373586'
COMP SCI,252,Intro to Computer Engineering,Introduction to Computing Systems: from bits and gates to C and beyond,'0072467509'
PHYSICS,307,Intmed Lab-Mech&Mod Physics,Data Reduction and Error Analysis for the Physical Sciences,'0072472278'
ELPA,827,Surveys/Quant Data Collection,The Survey Research Handbook,'0072945486'
MATH,467,Introduction to Number Theory,Elementary number theory,'0073383147'
I SY E,320,Simulatn&Probablstc Modelng,Simulation with Arena (6th Edition),'0073401315'
COM ARTS,313,Topics: Film and Media Studies,Film History: An Introduction,'0073514241'
I SY E,515,Engr Mgt-Cont Proc Imprvmnt,Kaizen,'007554332X'
ATM OCN,310,Dynamics-Atmosphere&Ocean I,An Introduction to Dynamic Meteorology,'0123848660'
I SY E,624,Stochastic Modeling Tech,Introduction to Probability Models,'0128143460'
MATH,341,Linear Algebra,Linear Algebra,'0130084514'
SPANISH,322,Survey of Early Hispanic Lit,"Antologia  de autores espa?oles antiguos y modernos, I. Antiguos",'0130338389'
E C E,436,Communication Systems I,Communication Systems Engineering,'0130617938'
COMP SCI,354,Machine Organizatn&Progrmng,C Programming Language,'0131103628'
E C E,542,Intro to Microelectromech Sys,Foundations of MEMS,'0131472860'
DANCE,165,World Dance Cultures,Dancing Through History,'0132043890'
DANCE,165,World Dance Cultures,History of the Dance in Art and Education,'0133893626'
LSC,332,Print&Electronic Media Dsgn,The Non-Designer's Design Book,'0133966151'
BIOLOGY,101,Animal Biology,Campbell Biology,'0134093410'
CS&D,240,Lang Devlp-Chld & Adolescnt,The Development of Language,'0134161149'
ED PSYCH,631,Supervision of Schl Personnel,Supervision and Instructional Leadership: A Developmental Approach,'0134449894'
M H R,401,The Management of Teams,Making the Team: A Guide for Managers,'0134484207'
MATH,320,Linear Alg & Diff Equations,Differential Equations and Linear Algebra,'013449718X'
ECON,302,Intmed Macroeconomic Theory,"Macroeconomics 6th Edition, loose leaf version",'0134543092'
CS&D,320,Introduction to Audiology,Introduction to Audiology,'0134695046'
CURRIC,318,Teaching Reading and Writing,Literacy for the 21st Century,'0134813103'
ED PSYCH,762,Intro: Dsgn-Ed Experiments,Design and Analysis: A Researcher's Handbook,'0135159415'
CURRIC,318,Teaching Reading and Writing,"Words Their Way Word Study for Phonics, Vocabulary, and Spelling Instruction",'0135174627'
CURRIC,368,The Teaching of Reading,Words Their Way,'0135204917'
COMP SCI,475,Intro-Combinatorics,Introductory Combinatorics,'0136020402'
I SY E,320,Simulatn&Probablstc Modelng,Discrete-Event System Simulation (5th Edition),'0136062121'
CBE,310,Chem Process Thermodynamics,Introductory Chemical Engineering Thermodynamcis,'0136068545'
ITALIAN,102,Second Semester Italian,Webster's New World Italian Dictionary,'0139536396'
ENGL,245,Seminar in the Major,The World Split Open: How the Modern Women's Movement Changed America,'0140097198'
AFROAMER,303,"Blacks, Film, and Society",The Eyes on the Prize Civil Rights Reader,'0140154035'
ILS,203,West Culture:Lit&The Arts I,Odyssey,'0140268863'
ILS,203,West Culture:Lit&The Arts I,Iliad,'0140275363'
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,The Saga of King Hrolf Kraki,'014043593X'
ENGL,334,18th-Century Literature,A Journal of the Plague Year,'0140437851'
LITTRANS,209,Masterpieces-Fr Lit & Culture,Old Goriot,'0140440178'
LITTRANS,235,The World of Sagas,King Harald's Saga,'0140441832'
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 1: The Golden Days",'0140442936'
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 2: The Crab-Flower Club",'0140443266'
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 3: The Warning Voice",'0140443703'
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 4: The Debt of Tears",'0140443711'
ASIAN,371,Topics-Chinese Literature,"The Story of the Stone, or the Dream of the Red Chamber Volume 5: The Dreamer Wakes",'014044372X'
COMP LIT,203,Intro Cross-Cultrl Lit Form,The Saga of the Volsungs,'0140447385'
ASIAN,236,Asia Enchanted,Strange Tales from a Chinese Studio,'0140447407'
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,The Prose Edda: Norse Mythology,'0140447555'
HISTORY,120,Europe&Mod World 1815-On,The Communist Manifesto,'0140447571'
ILS,205,"W Cult:Pol,Econ&Soc Thght I",THE HISTORIES,'0140449086'
LITTRANS,235,The World of Sagas,The Sagas of Icelanders,'0141000031'
LITTRANS,337,In Transl:19C Scand Fiction,Mysteries,'0141186186'
ENGL,334,18th-Century Literature,Caleb Williams,'0141441232'
HISTORY,120,Europe&Mod World 1815-On,Heart of Darkness,'0141441674'
GEOG,510,Economic Geography,Evicted: Poverty and Profit in the American City,'0141983310'
HISTORY,101,Amer Hist to Civil War Era,American Colonies: The Settling of North America,'0142002100'
SCAND ST,419,Scandinavian Children's Lit,Pippi Longstocking,'0142402494'
LAW,743,Negotiations,Bargaining for Advantage: Negotiation Strategies for Reasonable People,'0143036971'
ASIAN,236,Asia Enchanted,The Ramayana,'0143039679'
LITTRANS,337,In Transl:19C Scand Fiction,"Niels Lyhne,",'0143039814'
ILS,203,West Culture:Lit&The Arts I,Aeneid,'0143105132'
NURSING,704,Ldrshp in Adv Practc Nursing I,FOR ALL STUDENTS-- The Ethics of Leadership,'0155063170'
AMER IND,172,Literatures of Native America,Pusing the Bear: A Novel of the Trail of Tears,'0156005441'
INTER-LS,106,1st-Yr Seminar: Social Sci,The Fur Hat,'0156340305'
LITTRANS,209,Masterpieces-Fr Lit & Culture,Phaedra,'015675780X'
LITTRANS,209,Masterpieces-Fr Lit & Culture,The School for Wives and the Learned Ladies,'0156795027'
LSC,880,Topics in Mass Communication,Reckoning: Journalism's Limits and Possibilities,'019006708X'
ILS,203,West Culture:Lit&The Arts I,Cultures of the West Vol I,'0190240466'
LSC,880,Topics in Mass Communication,Apostles of Certainty: Data Journalism and the Politics of Doubt,'0190492341'
HISTORY,109,Intro to US History,Ideas That Made America: A Brief History,'0190625368'
ILS,371,Interdis in Arts & Humanities,A Storm of Witchcraft: The Salem Trials and the American Experience,'0190627808'
LSC,880,Topics in Mass Communication,Journalism Without Profit: Making News When the Market Fails,'0190641908'
ED POL,648,Sociology of Education,Despite the Best Intentions,'0190669829'
POLI SCI,170,Research Methods in Poli Sci,"The Process of Social Research, 2nd Edition",'0190876654'
HISTORY,500,Reading Seminar in History,Samurai: A concise history,'0190932945'
LSC,880,Topics in Mass Communication,"Bearing Witness While Black: African Americans, Smartphones, and the New Protest #Journalism",'0190935537'
LITTRANS,209,Masterpieces-Fr Lit & Culture,Les Liaisons dangereuses,'0192838679'
SLAVIC,285,Slavic Culture in Context,Understanding Cultures Through Their Key Words,'0195088360'
M E,429,Metal Cutting,Metal Cutting Principles,'0195142063'
PHILOS,440,Existentialism,Existentialism,'0195174631'
ENVIR ST,460,Amer Environmental History,Dust Bowl,'0195174887'
AFROAMER,303,"Blacks, Film, and Society",Documentary Film: A Very Short Introduction,'0195182707'
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",Despite the Best Intentions,'0195342720'
COM ARTS,310,Topics: Rhetoric & Com Science,The Fundamentalist Mindset,'0195379667'
ENGL,577,Postcolonial Theatre,Two Plays by Girish Karnad,'0195664760'
ANTHRO,860,Hist-Anthropological Theory,"Witchcraft, Oracles and Magic among the Azande",'0198740298'
ASIAN,103,Intro-E Asian History:China,Modern China: A Very Short Introduction,'0198753705'
HISTORY,201,The Historian's Craft,"The French Revolution, 1789-1799",'0199244146'
ENGL,175,Lit & the Other Disciplines,wieland,'0199538778'
CIV ENGR,500,Water Chemistry,Water Chemistry,'0199730725'
LSC,560,Scientific Writing,Writing science: How to write papers that get cited and proposals that get funded,'0199760241'
MUSIC,413,Survey Music-Baroque Era,Music of the Baroque: An Anthology of Scores,'0199942021'
M H R,773,Seminar-Arts Administration,Arts Management: Uniting Arts and Audiences in the 21st Century,'0199973709'
PHILOS,101,Introduction to Philosophy,Philosophy: The Quest for Truth,'0199981086'
PHYSICS,311,Mechanics,Classical Mechanics,'0201029189'
E M A,524,Rocket Propulsion,Mechanics and Thermodynamics of Propulsion,'0201146592'
ENGL,214,The English Language,How English Works. A Linguistic Introduction.,'0205032281'
L I S,603,Research and Assessment,Real Research: Conducting and Evaluating Research in the Social Sciences,'0205416624'
FRENCH,228,Intermed Language & Culture,Contrastes,'0205646999'
FRENCH,101,First Semester French,Francais-Monde:  Connectez-vous a la francophone (bound version) + My French Lab,'0205963862'
FRENCH,101,First Semester French,Francais-Monde:  Connectez-vous a la francophone (loose-leaf version) + My French Lab,'0205994490'
ANTHRO,300,Cult Anthro:Thry&Ethnogrphy,Renegade Dreams: Living through Injury in Gangland Chicago,'022603271X'
RELIG ST,600,Religion-Critical Perspective,The New Metaphysicals: Spirituality and the American Religious Imagination,'0226042804'
ASIAN,630,Proseminar: Cultures of Asia,Improvising Theory: Process and Temporality in Ethnographic Fieldwork,'0226100316'
RELIG ST,600,Religion-Critical Perspective,The Possession at Loudun,'0226100359'
LSC,100,Science and Storytelling,The Craft of Research,'022623973X'
HIST SCI,720,Historiography & Methods,Making Natural Knowledge,'0226302318'
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",The Diversity Bargain,'022640014X'
RELIG ST,600,Religion-Critical Perspective,Mad and Divine: Spirit and Psyche in the Modern World,'0226422879'
LSC,360,Information Radio,Sound Reporting: The NPR Guide to Audio Journalism and Production,'0226431789'
PSYCH,449,Animal Behavior,Principles of Animal Behavior,'022644838X'
HIST SCI,201,Origins-Scientific Thought,Beginnings of Western science,'0226482057'
RELIG ST,600,Religion-Critical Perspective,Consuming Religion,'022648209X'
ED POL,648,Sociology of Education,Education in a New Society,'022651742X'
POLI SCI,199,Directed Study,The Political System of the European Union,'0230249825'
COM ARTS,310,Topics: Rhetoric & Com Science,Demagogue: The Fight to Save Democracy from Its Worst Enemies,'0230606245'
RELIG ST,600,Religion-Critical Perspective,Martyrdom and Memory: Early Christian Culture Making,'0231129874'
ASIAN,630,Proseminar: Cultures of Asia,Autobiography of an Archive: A Scholar's Passage to India,'0231169663'
CSCS,345,Evaluation and Planning,Big Hunger: The Unholy Alliance Between Corporate America and Anti-Hunger Groups,'0262036088'
ART,563,Graphic Design for Games,Critical Play,'0262518651'
RELIG ST,600,Religion-Critical Perspective,The Objects That Remain,'027108782X'
PORTUG,221,Intro-Luso-Brazilian Lits,Family Ties.,'0292724489'
ENVIR ST,460,Amer Environmental History,Environmental Justice in Postwar America: A Documentary Reader,'0295743697'
ENVIR ST,460,Amer Environmental History,Conservation in the Progressive Era: A Documentary Reader,'0295983752'
LEGAL ST,645,Intellectual Freedom,Purity in Print:  Book Censorship in America From the Gilded Age to the Computer Age,'0299175847'
ASIAN,630,Proseminar: Cultures of Asia,The Trashing of Margaret Mead: Anatomy of an Anthropological Controversy,'0299234541'
AFRICAN,371,First Semester Yoruba,Je K'A So Yoruba,'0300055900'
RELIG ST,600,Religion-Critical Perspective,Before Religion: A History of a Modern Concept,'0300216785'
ART,438,Graphic Design History,Graphic Design: A New History,'0300233280'
PHYSICS,731,Quantum Mechanics,Principles of Quantum Mechanics,'0306447908'
LAW,771,Select Topics-Estate Planning,The Wall Street Journal Complete Money and Investing Guidebook,'0307236994'
SPANISH,460,Literatura Hispanoamericana,Estella distante,'030747612X'
RP & SE,200,Issues in Special Education,In a different key: the story of autism,'0307985679'
ENGL,175,Lit & the Other Disciplines,confessions of nat turner,'0312112076'
CLASSICS,373,Topics in Classical Culture,The Red Tent - 20th Anniversary Edition: A Novel,'0312427298'
KINES,417,Adv Clinical Assessment in AT,The Checklist Manifesto: How to Get Things Right,'0312430000'
HISTORY,120,Europe&Mod World 1815-On,Sources of the Making of the West: Peoples and Cultures.  Vol II: Since 1500.  4th edition,'0312576129'
SCAND ST,419,Scandinavian Children's Lit,Comet in Moominland,'0312608888'
SLAVIC,285,Slavic Culture in Context,Through the Language Glass,'0312610491'
CHEM,375,Intermed Topics in Chemistry,The Disappearing Spoon,'0316051632'
AFRICAN,203,Intro Topics in African Lit,We Need New Names,'0316230847'
COMP SCI,577,Introduction to Algorithms,Algorithm Design,'0321295358'
KINES,373,Meth & Prac of Sport,Teaching Cues for Sport Skills for Secondary School Students,'0321734939'
ART,575,User Experience for Design,Logo design love,'0321985206'
NURSING,704,Ldrshp in Adv Practc Nursing I,FOR NURSE ED STUDENTS --Teaching in Nursing: A Guide for Faculty,'032329054X'
OCC THER,623,Yng Adult Occs&Ther Interventn,Pedretti's Occupational Therapy: Practice Skills for Physical Dysfunction,'0323339271'
SURG SCI,501,Radiographic Anat-Dog&Cat,Textbook of Veterinary Diagnostic Radiology,'0323482473'
POP HLTH,797,Introduction to Epidemiology,Gordis Epidemiology,'0323552293'
NURSING,437,Soc Justice in Loc & Glb Stgs,Public Health Nursing: Population-Centered Health Care in the Community,'0323582249'
THEATRE,464,Costume Technology Topics,The Costume Technician's Handbook,'0325004773'
CURRIC,316,ESL/Bilingual Methods,"Scaffolding Language, Scaffolding Learning",'0325056641'
CURRIC,396,Teaching of English,Teaching English by design: How to create and carry out instructional units,'0325108072'
ENVIR ST,460,Amer Environmental History,A Sand County Almanac,'0345345053'
AFROAMER,227,Masterpieces of Afro Amer Lit,The Underground Railroad,'0345804325'
ENGL,175,Lit & the Other Disciplines,the circle,'0345807294'
ART,366,Stage Lighting I,Designing with Light: An Introduction to Stage Lighting 7th Edition,'0367000695'
ENGL,577,Postcolonial Theatre,Dream on Monkey Mountain and Other Plays,'0374143684'
SCAND ST,419,Scandinavian Children's Lit,The Dark Light,'0374317011'
SCAND ST,419,Scandinavian Children's Lit,The Crow-Girl: The Children of Crow Cove,'0374400032'
LITTRANS,254,Lit Tran: Modern Italy,Christ Stopped at Eboli,'0374503168'
SOC WORK,640,Diversity Opp Soc Just in SW,Seeing A Color-Blind Future,'0374525331'
ENGL,245,Seminar in the Major,The Dialectic of Sex: The Case for Feminist Revolution,'0374527873'
ASIAN,630,Proseminar: Cultures of Asia,Camera Lucida: Reflections on Photography,'0374532338'
LITTRANS,222,Dostoevsky in Translation,THE IDIOT,'0375413928'
GERMAN,236,Bascom Course,The Reader,'0375707972'
ENGL,176,Topics in Literature and Film,Persepolis: The Story of a Childhood,'037571457X'
ENGL,175,Lit & the Other Disciplines,turn of the screw and in the cage,'0375757406'
LITTRANS,275,In Transl:Hans C. Andersen,Hans Christian Andersen,'0385189516'
ILS,254,Literature and Science,Coming of Age in the Milky Way,'0385263260'
ART HIST,201,History of Western Art I,"Cartoon History of the Universe, vol. 1-7",'0385265204'
HISTORY,105,Intro-History of Africa,No Longer at Ease,'0385474555'
LITTRANS,209,Masterpieces-Fr Lit & Culture,Crossing the Mangrove,'0385476337'
CLASSICS,373,Topics in Classical Culture,The Handmaid's Tale,'038549081X'
AGRONOMY,532,Environmental Biophysics,An Introduction to Environmental Biophysics,'0387949372'
MATH,309,Intro to Prob & Math Stat I,Probability,'0387979743'
LEGAL ST,645,Intellectual Freedom,Perilous Times: Free Speech in Wartime From the Sedition Act of 1798 to the War on Terrorism,'0393058808'
C&E SOC,475,Classical Soc Theory,The Marx-Engels Reader,'039309040X'
ASTRON,170,The Dark Side of the Universe,Black Holes and Time Warps: Einstein's Outrageous Legacy,'0393312763'
ANTHRO,860,Hist-Anthropological Theory,The Gift: The Form and Reason for Exchange in Archaic Societies,'039332043X'
COMP LIT,203,Intro Cross-Cultrl Lit Form,Inferno: A New Verse Translation (New Verse Translation by Michael Palma),'0393323870'
PHILOS,101,Introduction to Philosophy,The Norton Introduction to Philosophy,'0393624420'
POLI SCI,401,Selected Topics-Poli Sci,American Political Thought,'0393655903'
STAT,301,Intro-Statistical Methods,Statistics,'0393929728'
ASIAN,103,Intro-E Asian History:China,The Open Empire: A History of China to 1800,'0393938778'
ECON,305,Developmnt-Economic Thought,The Essential Adam Smith,'0393955303'
ECON,700,Mathematics for Economists,Mathematics for Economists,'0393957330'
LITTRANS,222,Dostoevsky in Translation,NOTES FROM UNDERGROUND,'0393976122'
THEATRE,140,Voice1 Effective Communication,The Performer's Voice: Realizing your Vocal Potential,'0393979938'
ASIAN,236,Asia Enchanted,Japanese Tales,'0394521900'
JEWISH,430,Intmed Topics in Jewish Lit,Maus vol. 1,'0394747232'
ENGL,248,Women in Ethnic Amer Lit,Interpreter of Maladies,'039592720X'
HIST SCI,150,The Digital Age,The Code: Silicon Valley and the Making of America,'0399562206'
ILS,254,Literature and Science,An Experiment with the Air Pump,'0413733106'
C&E SOC,475,Classical Soc Theory,The Protestant Ethic and the Spirit of Capitalism,'041525406X'
THEATRE,631,Theories of Acting,Actor Training,'0415471680'
RELIG ST,200,Intro Topics in Relig St (H),"Religion, Media, and Culture: A Reader",'0415549558'
MUSIC,911,Seminar in Musicology,Musicology: The Key Concepts,'0415679680'
HISTORY,105,Intro-History of Africa,God's Bits of Wood,'0435909592'
ASIAN AM,152,AsianAm Lit & Pop Culture,The Arrival,'0439895294'
HISTORY,120,Europe&Mod World 1815-On,All Quiet on the Western Front,'0449213943'
SOC WORK,646,Child Abuse and Neglect,Turning Stones: A Caseworker's Story - my days and nights with children at risk,'0449912353'
